Sector,Company,Output,MSE,R2
TEXTILE SPINNING,RCML,Output_4,0.066186,-3.568174
TEXTILE SPINNING,RUBY,Output_1,0.012337,0.565416
TEXTILE SPINNING,RUBY,Output_2,0.013841,0.51261
TEXTILE SPINNING,RUBY,Output_3,0.019312,0.329824
TEXTILE SPINNING,RUBY,Output_4,0.030966,-0.061553
TEXTILE SPINNING,SAIF,Output_1,0.020715,0.728629
TEXTILE SPINNING,SAIF,Output_2,0.023209,0.69625
TEXTILE SPINNING,SAIF,Output_3,0.033451,0.56262
TEXTILE SPINNING,SAIF,Output_4,0.06369,0.202837
TEXTILE SPINNING,SERT,Output_1,0.024349,0.401857
TEXTILE SPINNING,SERT,Output_2,0.026529,0.348591
TEXTILE SPINNING,SERT,Output_3,0.034999,0.135502
TEXTILE SPINNING,SERT,Output_4,0.034652,-0.665055
TEXTILE SPINNING,SHDT,Output_1,0.009746,0.861494
TEXTILE SPINNING,SHDT,Output_2,0.010844,0.844888
TEXTILE SPINNING,SHDT,Output_3,0.016549,0.747725
TEXTILE SPINNING,SHDT,Output_4,0.036894,0.009401
TEXTILE SPINNING,SLYT,Output_1,0.007394,0.85219
TEXTILE SPINNING,SLYT,Output_2,0.012259,0.756081
TEXTILE SPINNING,SLYT,Output_3,0.03191,0.357152
TEXTILE SPINNING,SLYT,Output_4,0.03596,0.004644
TEXTILE SPINNING,SSML,Output_1,0.005482,0.674739
TEXTILE SPINNING,SSML,Output_2,0.006038,0.641058
TEXTILE SPINNING,SSML,Output_3,0.007047,0.576267
TEXTILE SPINNING,SSML,Output_4,0.033881,-0.29452
TEXTILE SPINNING,SUTM,Output_1,0.003887,0.331427
TEXTILE SPINNING,SUTM,Output_2,0.003603,0.378043
TEXTILE SPINNING,SUTM,Output_3,0.003303,0.410426
TEXTILE SPINNING,SUTM,Output_4,0.004907,-0.653327
TEXTILE SPINNING,TATM,Output_1,0.01592,-0.175977
TEXTILE SPINNING,TATM,Output_2,0.017638,-0.287774
TEXTILE SPINNING,TATM,Output_3,0.023529,-0.518933
