symbol,href,name,sector_id,listed_in,sector_name,,ACI,ALLSHR,BKTI,JSGBKTI,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI,PSXDIV20,UPP9,data-link
FCSC,https://dps.psx.com.pk/company/FCSC,First Capital Securities Corporation,0813,ALLSHR,INV. BANKS / INV. COS. / SECURITIES COS.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/FCSC
ICIBL,https://dps.psx.com.pk/company/ICIBL,Invest Capital Investment Bank Limited,0813,ALLSHR,INV. BANKS / INV. COS. / SECURITIES COS.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/ICIBL
BBFL,https://dps.psx.com.pk/company/BBFL,Big Bird Foods Limited,0810,"ALLSHR,KMIALLSHR",FOOD & PERSONAL CARE PRODUCTS,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/BBFL
DSL,https://dps.psx.com.pk/company/DSL,Dost Steels Limited,0808,ALLSHR,ENGINEERING,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/DSL
DFSM,https://dps.psx.com.pk/company/DFSM,Dewan Farooque Spinning Mills Limited,0830,"ALLSHR,KMIALLSHR",TEXTILE SPINNING,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/DFSM
AGHA,https://dps.psx.com.pk/company/AGHA,Agha Steel Ind.Ltd,0808,ALLSHR,ENGINEERING,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/AGHA
GHGL,https://dps.psx.com.pk/company/GHGL,Ghani Glass Limited,0811,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",GLASS & CERAMICS,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/GHGL
SLGL,https://dps.psx.com.pk/company/SLGL,Secure Logistics Group Limited,0833,"ALLSHR,KMIALLSHR",TRANSPORT,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/SLGL
SNGP,https://dps.psx.com.pk/company/SNGP,Sui Northern Gas Pipelines Limited,0821,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,MII30,MZNPI",OIL & GAS MARKETING COMPANIES,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/SNGP
DWSM,https://dps.psx.com.pk/company/DWSM,Dewan Sugar Mills Limited,0826,ALLSHR,SUGAR & ALLIED INDUSTRIES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/DWSM
LOADS,https://dps.psx.com.pk/company/LOADS,Loads Limited,0802,ALLSHR,AUTOMOBILE PARTS & ACCESSORIES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/LOADS
ALTN,https://dps.psx.com.pk/company/ALTN,Altern Energy Limited,0824,ALLSHR,POWER GENERATION & DISTRIBUTION,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/ALTN
YOUW,https://dps.psx.com.pk/company/YOUW,Yousaf Weaving Mills Limited,0831,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",TEXTILE WEAVING,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/YOUW
HWQS,https://dps.psx.com.pk/company/HWQS,Haseeb Waqas Sugar Mills Limited,0826,ALLSHR,SUGAR & ALLIED INDUSTRIES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/HWQS
HICL,https://dps.psx.com.pk/company/HICL,Habib Insurance Company Limited,0812,ALLSHR,INSURANCE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/HICL
ANL,https://dps.psx.com.pk/company/ANL,Azgard Nine Limited,0829,"ALLSHR,KMIALLSHR",TEXTILE COMPOSITE,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/ANL
DHPL,https://dps.psx.com.pk/company/DHPL,DH Partners Limited,0813,ALLSHR,INV. BANKS / INV. COS. / SECURITIES COS.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/DHPL
CSAP,https://dps.psx.com.pk/company/CSAP,Crescent Steel & Allied Products Limited,0808,"ACI,ALLSHR",ENGINEERING,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/CSAP
BAPL,https://dps.psx.com.pk/company/BAPL,Bawany Air Products Limited,0805,ALLSHR,CHEMICAL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/BAPL
BIPL,https://dps.psx.com.pk/company/BIPL,BankIslami Pakistan Limited,0807,"ALLSHR,JSMFI,KMIALLSHR",COMMERCIAL BANKS,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/BIPL
PSO,https://dps.psx.com.pk/company/PSO,Pakistan State Oil Company Limited,0821,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI",OIL & GAS MARKETING COMPANIES,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PSO
ASTM,https://dps.psx.com.pk/company/ASTM,Asim Textile Mills Limited,0830,ALLSHR,TEXTILE SPINNING,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/ASTM
NRSL,https://dps.psx.com.pk/company/NRSL,Nimir Resins Limited,0805,"ALLSHR,KMIALLSHR",CHEMICAL,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/NRSL
