symbol,period,date_predicted,predicted_price,percent_change,absolute_difference,last_price
PIAHCLA,6 months,2026-January-21,17.76,-15.37,-3.23,20.99
CPHL,1 day,2025-July-26,101.4,24.66,20.06,81.34
CPHL,1 week,2025-August-01,100.04,22.99,18.7,81.34
CPHL,1 month,2025-August-24,107.78,32.51,26.44,81.34
CPHL,6 months,2026-January-21,138.73,70.56,57.39,81.34
SNBL,1 day,2025-July-26,20.16,-19.04,-4.74,24.9
SNBL,1 week,2025-August-01,19.88,-20.18,-5.02,24.9
SNBL,1 month,2025-August-24,20.51,-17.61,-4.39,24.9
SNBL,6 months,2026-January-21,23.98,-3.7,-0.92,24.9
FCCL,1 day,2025-July-26,48.12,4.83,2.22,45.9
FCCL,1 week,2025-August-01,48.44,5.53,2.54,45.9
FCCL,1 month,2025-August-24,49.91,8.74,4.01,45.9
FCCL,6 months,2026-January-21,63.66,38.69,17.76,45.9
DFML,1 day,2025-July-26,41.1,17.06,5.99,35.11
DFML,1 week,2025-August-01,37.11,5.69,2.0,35.11
DFML,1 month,2025-August-24,41.61,18.52,6.5,35.11
DFML,6 months,2026-January-21,34.96,-0.44,-0.15,35.11
CRTM,1 day,2025-July-26,18.01,-21.61,-4.96,22.97
CRTM,1 week,2025-August-01,19.08,-16.93,-3.89,22.97
CRTM,1 month,2025-August-24,18.79,-18.2,-4.18,22.97
CRTM,6 months,2026-January-21,21.29,-7.32,-1.68,22.97
WAVES,1 day,2025-July-26,9.02,5.78,0.49,8.53
WAVES,1 week,2025-August-01,8.61,0.97,0.08,8.53
WAVES,1 month,2025-August-24,9.28,8.79,0.75,8.53
WAVES,6 months,2026-January-21,9.42,10.49,0.89,8.53
BECO,1 day,2025-July-26,15.04,-31.77,-7.0,22.04
BECO,1 week,2025-August-01,14.99,-32.01,-7.05,22.04
BECO,1 month,2025-August-24,16.95,-23.1,-5.09,22.04
BECO,6 months,2026-January-21,20.29,-7.95,-1.75,22.04
MUGHAL,1 day,2025-July-26,65.78,-3.11,-2.11,67.89
MUGHAL,1 week,2025-August-01,69.55,2.45,1.66,67.89
MUGHAL,1 month,2025-August-24,71.45,5.24,3.56,67.89
MUGHAL,6 months,2026-January-21,67.53,-0.54,-0.36,67.89
TREET,1 day,2025-July-26,23.93,4.97,1.13,22.8
TREET,1 week,2025-August-01,25.48,11.74,2.68,22.8
TREET,1 month,2025-August-24,23.53,3.2,0.73,22.8
TREET,6 months,2026-January-21,28.73,26.02,5.93,22.8
HUMNL,1 day,2025-July-26,13.25,-5.51,-0.77,14.02
HUMNL,1 week,2025-August-01,13.52,-3.55,-0.5,14.02
HUMNL,1 month,2025-August-24,13.14,-6.29,-0.88,14.02
HUMNL,6 months,2026-January-21,14.26,1.73,0.24,14.02
GCWL,1 day,2025-July-26,12.94,1.54,0.2,12.74
GCWL,1 week,2025-August-01,5.9,-53.67,-6.84,12.74
GCWL,1 month,2025-August-24,-353.02,-2870.98,-365.76,12.74
GCWL,6 months,2026-January-21,126.21,890.68,113.47,12.74
OGDC,1 day,2025-July-26,228.51,1.15,2.6,225.91
OGDC,1 week,2025-August-01,233.96,3.56,8.05,225.91
OGDC,1 month,2025-August-24,235.66,4.32,9.75,225.91
OGDC,6 months,2026-January-21,291.26,28.93,65.35,225.91
ITTEFAQ,1 day,2025-July-26,6.48,-31.1,-2.93,9.41
ITTEFAQ,1 week,2025-August-01,8.29,-11.92,-1.12,9.41
ITTEFAQ,1 month,2025-August-24,7.02,-25.35,-2.39,9.41
ITTEFAQ,6 months,2026-January-21,11.62,23.5,2.21,9.41
DBCI,1 day,2025-July-26,6.11,-8.27,-0.55,6.66
DBCI,1 week,2025-August-01,7.42,11.43,0.76,6.66
DBCI,1 month,2025-August-24,7.08,6.36,0.42,6.66
DBCI,6 months,2026-January-21,5.62,-15.6,-1.04,6.66
TRG,1 day,2025-July-26,31.99,-41.83,-23.01,55.0
TRG,1 week,2025-August-01,64.7,17.64,9.7,55.0
TRG,1 month,2025-August-24,30.95,-43.73,-24.05,55.0
TRG,6 months,2026-January-21,69.74,26.8,14.74,55.0
PSX,1 day,2025-July-26,31.33,0.13,0.04,31.29
PSX,1 week,2025-August-01,32.39,3.51,1.1,31.29
PSX,1 month,2025-August-24,32.45,3.69,1.16,31.29
PSX,6 months,2026-January-21,41.53,32.74,10.24,31.29
PREMA,1 day,2025-July-26,47.42,19.75,7.82,39.6
PREMA,1 week,2025-August-01,52.07,31.5,12.47,39.6
PREMA,1 month,2025-August-24,53.63,35.42,14.03,39.6
PREMA,6 months,2026-January-21,70.05,76.89,30.45,39.6
WAVESAPP,1 day,2025-July-26,15.65,68.07,6.34,9.31
